DATE,PROVINCE,ESTABLISH_NAME,ADDRESS,CITY,VENDOR_NUMBER_PO,VENDOR_NAME,PRODUCT_SKU_NO,PRODUCT_NAME,WEEK_ENDING_DATE,CASE_SALES
1/8/2024,BC,1904 CANNABIS COMPANY,Unit B - 720 First Ave,Ladysmith,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2023-12-16 0:00,1
1/8/2024,BC,1904 CANNABIS COMPANY,Unit B - 720 First Ave,Ladysmith,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2023-12-23 0:00,1
1/8/2024,BC,1904 CANNABIS COMPANY,Unit B - 720 First Ave,Ladysmith,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2023-12-30 0:00,1
1/8/2024,BC,1904 CANNABIS COMPANY,Unit B - 720 First Ave,Ladysmith,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2023-12-30 0:00,1
1/8/2024,BC,1904 Cannabis Company Inc.,Unit 4 - 1770 Shawnigan - Mill Bay Road,Shawnigan Lake,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-30 0:00,1
1/8/2024,BC,1ST CANNABIS,223 1st St W,North Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-23 0:00,1
1/8/2024,BC,1ST CANNABIS,223 1st St W,North Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2023-12-30 0:00,1
1/8/2024,BC,1ST CANNABIS,223 1st St W,North Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-01-06 0:00,1
1/8/2024,BC,1ST CANNABIS,223 1st St W,North Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-01-06 0:00,1
1/8/2024,BC,4TWENTY CANNABIS,3441 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-30 0:00,1
1/8/2024,BC,4TWENTY CANNABIS,3441 Kingsway,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2023-12-30 0:00,1
1/8/2024,BC,642 CANNABIS,3-6686 Sooke Rd,Sooke,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2023-12-16 0:00,1
1/8/2024,BC,642 CANNABIS,3-6686 Sooke Rd,Sooke,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-01-06 0:00,1
1/8/2024,BC,642 CANNABIS,3-6686 Sooke Rd,Sooke,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-01-06 0:00,1
1/8/2024,BC,99 NORTH CANNABIS STORE,130-1200 Hunter Place,Squamish,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-23 0:00,4
1/8/2024,BC,99 NORTH CANNABIS STORE,130-1200 Hunter Place,Squamish,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2023-12-23 0:00,4
1/8/2024,BC,99 NORTH CANNABIS STORE,130-1200 Hunter Place,Squamish,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2023-12-30 0:00,4
1/8/2024,BC,A LITTLE BUD,Unit 1 1050 Millar Creek Rd,Whistler,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2023-12-16 0:00,1
1/8/2024,BC,A LITTLE BUD,Unit 1 1050 Millar Creek Rd,Whistler,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-23 0:00,1
1/8/2024,BC,A LITTLE BUD,1484 Johnston Rd,White Rock,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-30 0:00,2
1/8/2024,BC,A LITTLE BUD,Unit 1 1050 Millar Creek Rd,Whistler,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2023-12-30 0:00,1
1/8/2024,BC,A LITTLE BUD,1484 Johnston Rd,White Rock,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-01-06 0:00,2
1/8/2024,BC,A LITTLE BUD,Unit 1 1050 Millar Creek Rd,Whistler,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-01-06 0:00,1
1/8/2024,BC,A LITTLE BUD,1484 Johnston Rd,White Rock,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-01-06 0:00,1
1/8/2024,BC,A LITTLE BUD,Unit 1 1050 Millar Creek Rd,Whistler,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-01-06 0:00,1
1/8/2024,BC,ARCANNABIS STORE,1812 W 4TH AVE,VANCOUVER,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2023-12-16 0:00,1
1/8/2024,BC,ARCANNABIS STORE,6528 Victoria Dr,Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-01-06 0:00,1
